state,waste_generated_tpd,waste_collected_tpd,waste_processed_tpd,collection_efficiency_pct,processing_efficiency_pct,initial_volume_cm3,compression_efficiency_pct,final_volume_cm3,simulated_processing_time_s,processing_rate_g_per_s,hydraulic_cycles
Andhra Pradesh,6890,6890,1558,100.00,22.61,900,28,648.0,38,2.632,4
Arunachal Pradesh,228,199,9,87.28,3.95,1020,32,693.6,45,2.222,5
Assam,1589,1333,575,83.89,36.19,1037,35,674.1,49,2.041,5
Bihar,4975,0,0,0.00,0.00,1100,30,770.0,52,1.923,6
Chhattisgarh,1820,1820,1790,100.00,98.35,1311,49,668.6,71,1.408,7
Goa,211,207,197,98.10,93.36,1585,40,951.0,56,1.786,5
Gujarat,10095,10095,8682,100.00,86.00,1722,47,912.7,67,1.493,6
Haryana,8766,6691,4297,76.33,49.02,1859,31,1282.7,41,2.439,7
Himachal Pradesh,383,349,269,91.12,70.23,1996,38,1237.5,52,1.923,4
Jharkhand,2404,1969,843,81.91,35.07,1170,29,830.7,74,1.351,6
Karnataka,13034,11655,5440,89.42,41.74,1307,36,836.5,48,2.083,7
Kerala,3472,1283,2691,36.95,77.51,1420,34,937.2,58,1.724,5
Madhya Pradesh,7115,6132,6059,86.18,85.16,1444,43,823.1,59,1.695,4
Maharashtra,23531,23044,19980,97.93,84.91,1581,50,790.5,70,1.429,5
Manipur,282,199,133,70.57,47.16,980,27,715.4,46,2.174,5
Meghalaya,165,137,27,83.03,16.36,890,25,667.5,42,2.381,4
Mizoram,374,313,234,83.69,62.57,1250,39,762.5,54,1.852,6
Nagaland,664,306,116,46.08,17.47,1150,33,770.5,61,1.639,6
Odisha,2103,2020,1356,96.05,64.48,1718,34,1133.9,44,2.273,6
Punjab,4222,4207,1471,99.64,34.84,1855,41,1094.5,55,1.818,7
Rajasthan,7973,7859,1926,98.57,24.16,1992,48,1035.8,66,1.515,4
Sikkim,66,66,18,100.00,27.27,850,30,595.0,40,2.500,4
Tamil Nadu,14586,14471,7206,99.21,49.40,1650,46,891.0,72,1.389,7
Telangana,11057,11057,8611,100.00,77.88,1550,44,868.0,63,1.587,6
Tripura,333,322,220,96.70,66.07,930,37,585.9,47,2.128,5
Uttar Pradesh,14710,14710,7321,100.00,49.77,1800,45,990.0,75,1.333,7
Uttarakhand,1585,1452,1050,91.61,66.25,1320,42,765.6,53,1.887,5
West Bengal,13709,13687,3047,99.84,22.23,1750,48,910.0,69,1.449,6
