state,waste_generated_tpd,waste_collected_tpd,waste_processed_tpd,collection_efficiency_pct,processing_efficiency_pct,waste_landfilled_tpd,official_management_gap_tpd,data_year
Andhra Pradesh,6890,6890,1558,100.00,22.61,,5332,2021-22
Andaman and Nicobar Islands,79,78,74,98.73,93.67,,3,2021-22
Arunachal Pradesh,228,199,9,87.28,3.95,,219,2021-22
Assam,1589,1333,575,83.89,36.19,744,270,2021-22
Bihar,4975,,,,,,4975,2021-22
Chandigarh,540,540,83,100.00,15.37,486,-29,2021-22
Chhattisgarh,1820,1820,1790,100.00,98.35,30,0,2021-22
Dadra and Nagar Haveli and Daman and Diu,267,267,246,100.00,92.13,21,0,2021-22
Delhi,11108,11108,5280,100.00,47.53,5828,0,2021-22
Goa,211,207,197,98.10,93.36,10,4,2021-22
Gujarat,10095,10095,8682,100.00,86.00,1003,410,2021-22
Haryana,8766,6691,4297,76.33,49.02,2218,2251,2021-22
Himachal Pradesh,383,349,269,91.12,70.23,80,34,2021-22
Jammu and Kashmir,1550,1540,606,99.35,39.10,390,554,2021-22
Jharkhand,2404,1969,843,81.91,35.07,930,631,2021-22
Karnataka,13034,11655,5440,89.42,41.74,4198,3396,2021-22
Kerala,3472,1283,2691,36.95,77.51,,781,2021-22
Ladakh,52,42,20,80.77,38.46,15,17,2021-22
Lakshadweep,18,18,18,100.00,100.00,0,0,2021-22
Madhya Pradesh,7115,6132,6059,86.18,85.16,76,980,2021-22
Maharashtra,23531,23044,19980,97.93,84.91,2067,1484,2021-22
Manipur,282,199,133,70.57,47.16,66,83,2021-22
Meghalaya,165,137,27,83.03,16.36,119,19,2021-22
Mizoram,374,313,234,83.69,62.57,8,132,2021-22
Nagaland,664,306,116,46.08,17.47,299,249,2021-22
Odisha,2103,2020,1356,96.05,64.48,738,9,2021-22
Puducherry,383,383,58,100.00,15.14,325,0,2021-22
Punjab,4222,4207,1471,99.64,34.84,2736,15,2021-22
Rajasthan,7973,7859,1926,98.57,24.16,5525,522,2021-22
Sikkim,66,66,18,100.00,27.27,48,0,2021-22
Tamil Nadu,14586,14471,7206,99.21,49.40,6776,604,2021-22
Telangana,11057,11057,8611,100.00,77.88,1011,1435,2021-22
Tripura,333,322,220,96.70,66.07,15,98,2021-22
Uttar Pradesh,14710,14710,7321,100.00,49.77,4389,3000,2021-22
Uttarakhand,1585,1452,1050,91.61,66.25,115,420,2021-22
West Bengal,13709,13687,3047,99.84,22.23,1187,9475,2021-22
